STNAME,CTYNAME,POPESTIMATE2015
Iowa,Iowa,3121460
Iowa,Adair County,7141
Iowa,Adams County,3753
Iowa,Allamakee County,13858
Iowa,Appanoose County,12572
Iowa,Audubon County,5713
Iowa,Benton County,25601
Iowa,Black Hawk County,133711
Iowa,Boone County,26453
Iowa,Bremer County,24740
Iowa,Buchanan County,21115
Iowa,Buena Vista County,20381
Iowa,Butler County,14886
Iowa,Calhoun County,9800
Iowa,Carroll County,20419
Iowa,Cass County,13345
Iowa,Cedar County,18308
Iowa,Cerro Gordo County,42983
Iowa,Cherokee County,11487
Iowa,Chickasaw County,12149
Iowa,Clarke County,9210
Iowa,Clay County,16497
Iowa,Clayton County,17727
Iowa,Clinton County,47550
Iowa,Crawford County,17095
Iowa,Dallas County,80618
Iowa,Davis County,8776
Iowa,Decatur County,8132
Iowa,Delaware County,17389
Iowa,Des Moines County,39860
Iowa,Dickinson County,17005
Iowa,Dubuque County,96884
Iowa,Emmet County,9698
Iowa,Fayette County,20139
Iowa,Floyd County,15910
Iowa,Franklin County,10326
Iowa,Fremont County,6913
Iowa,Greene County,8942
Iowa,Grundy County,12404
Iowa,Guthrie County,10652
Iowa,Hamilton County,15223
Iowa,Hancock County,11028
Iowa,Hardin County,17256
Iowa,Harrison County,14140
Iowa,Henry County,19844
Iowa,Howard County,9312
Iowa,Humboldt County,9550
Iowa,Ida County,6961
Iowa,Iowa County,16278
Iowa,Jackson County,19362
Iowa,Jasper County,36740
Iowa,Jefferson County,17916
Iowa,Johnson County,144931
Iowa,Jones County,20444
Iowa,Keokuk County,10172
Iowa,Kossuth County,15159
Iowa,Lee County,34893
Iowa,Linn County,220211
Iowa,Louisa County,11279
Iowa,Lucas County,8607
Iowa,Lyon County,11751
Iowa,Madison County,15731
Iowa,Mahaska County,22308
Iowa,Marion County,33111
Iowa,Marshall County,40364
Iowa,Mills County,14875
Iowa,Mitchell County,10675
Iowa,Monona County,8868
Iowa,Monroe County,7922
Iowa,Montgomery County,10151
Iowa,Muscatine County,43020
Iowa,O'Brien County,13926
Iowa,Osceola County,6163
Iowa,Page County,15471
Iowa,Palo Alto County,9137
Iowa,Plymouth County,24903
Iowa,Pocahontas County,6964
Iowa,Polk County,467526
Iowa,Pottawattamie County,93608
Iowa,Poweshiek County,18614
Iowa,Ringgold County,4976
Iowa,Sac County,9965
Iowa,Scott County,171927
Iowa,Shelby County,11786
Iowa,Sioux County,34769
Iowa,Story County,96605
Iowa,Tama County,17217
Iowa,Taylor County,6256
Iowa,Union County,12434
Iowa,Van Buren County,7297
Iowa,Wapello County,35505
Iowa,Warren County,48465
Iowa,Washington County,22147
Iowa,Wayne County,6358
Iowa,Webster County,37048
Iowa,Winnebago County,10597
Iowa,Winneshiek County,20736
Iowa,Woodbury County,102491
Iowa,Worth County,7502
Iowa,Wright County,12843
Kansas,Kansas,2909502
Kansas,Allen County,12662
Kansas,Anderson County,7817
Kansas,Atchison County,16419
Kansas,Barber County,4824
Kansas,Barton County,27173
Kansas,Bourbon County,14742
Kansas,Brown County,9698
Kansas,Butler County,66245
Kansas,Chase County,2655
Kansas,Chautauqua County,3386
Kansas,Cherokee County,20527
Kansas,Cheyenne County,2677
Kansas,Clark County,2081
Kansas,Clay County,8294
Kansas,Cloud County,9200
Kansas,Coffey County,8290
Kansas,Comanche County,1827
Kansas,Cowley County,35773
Kansas,Crawford County,39151
Kansas,Decatur County,2926
Kansas,Dickinson County,19204
Kansas,Doniphan County,7784
Kansas,Douglas County,118222
Kansas,Edwards County,2956
Kansas,Elk County,2573
Kansas,Ellis County,29002
Kansas,Ellsworth County,6307
Kansas,Finney County,37208
Kansas,Ford County,34693
Kansas,Franklin County,25469
Kansas,Geary County,36660
Kansas,Gove County,2698
Kansas,Graham County,2597
Kansas,Grant County,7737
Kansas,Gray County,6077
Kansas,Greeley County,1301
Kansas,Greenwood County,6233
Kansas,Hamilton County,2565
Kansas,Harper County,5781
Kansas,Harvey County,34811
Kansas,Haskell County,4088
Kansas,Hodgeman County,1860
Kansas,Jackson County,13284
Kansas,Jefferson County,18813
Kansas,Jewell County,2962
Kansas,Johnson County,579708
Kansas,Kearny County,3936
Kansas,Kingman County,7634
Kansas,Kiowa County,2572
Kansas,Labette County,20630
Kansas,Lane County,1630
Kansas,Leavenworth County,79099
Kansas,Lincoln County,3144
Kansas,Linn County,9582
Kansas,Logan County,2786
Kansas,Lyon County,33165
Kansas,McPherson County,28634
Kansas,Marion County,12047
Kansas,Marshall County,9842
Kansas,Meade County,4303
Kansas,Miami County,32756
Kansas,Mitchell County,6300
Kansas,Montgomery County,33426
Kansas,Morris County,5628
Kansas,Morton County,2952
Kansas,Nemaha County,10093
Kansas,Neosho County,16261
Kansas,Ness County,3015
Kansas,Norton County,5538
Kansas,Osage County,15863
Kansas,Osborne County,3642
Kansas,Ottawa County,5937
Kansas,Pawnee County,6768
Kansas,Phillips County,5421
Kansas,Pottawatomie County,23126
Kansas,Pratt County,9696
Kansas,Rawlins County,2508
Kansas,Reno County,63591
Kansas,Republic County,4688
Kansas,Rice County,9925
Kansas,Riley County,77149
