,n_killed,latitude,longitude,output
268,2,39.556999999999995,-104.98200000000001,"{ lat: 39.556999999999995, lng: -104.98200000000001, count: 2 }"
269,2,32.8121,-96.6424,"{ lat: 32.8121, lng: -96.6424, count: 2 }"
270,2,37.8162,-122.279,"{ lat: 37.8162, lng: -122.279, count: 2 }"
271,2,39.818000000000005,-86.1326,"{ lat: 39.818000000000005, lng: -86.1326, count: 2 }"
272,2,30.4044,-97.7539,"{ lat: 30.4044, lng: -97.7539, count: 2 }"
273,2,42.2569,-89.0764,"{ lat: 42.2569, lng: -89.0764, count: 2 }"
274,2,36.1623,-85.5962,"{ lat: 36.1623, lng: -85.5962, count: 2 }"
275,2,38.2687,-85.7914,"{ lat: 38.2687, lng: -85.7914, count: 2 }"
276,2,41.117,-74.2506,"{ lat: 41.117, lng: -74.2506, count: 2 }"
277,2,45.6412,-122.69,"{ lat: 45.6412, lng: -122.69, count: 2 }"
278,2,31.99,-84.3944,"{ lat: 31.99, lng: -84.3944, count: 2 }"
279,2,40.9397,-75.33,"{ lat: 40.9397, lng: -75.33, count: 2 }"
280,2,39.9526,-75.1652,"{ lat: 39.9526, lng: -75.1652, count: 2 }"
281,2,28.04,-82.4321,"{ lat: 28.04, lng: -82.4321, count: 2 }"
282,2,30.430999999999997,-84.2603,"{ lat: 30.430999999999997, lng: -84.2603, count: 2 }"
283,2,40.7551,-105.01899999999999,"{ lat: 40.7551, lng: -105.01899999999999, count: 2 }"
284,2,37.6876,-96.9824,"{ lat: 37.6876, lng: -96.9824, count: 2 }"
285,2,44.8572,-93.5113,"{ lat: 44.8572, lng: -93.5113, count: 2 }"
286,2,40.4721,-79.9309,"{ lat: 40.4721, lng: -79.9309, count: 2 }"
287,2,37.2973,-89.5312,"{ lat: 37.2973, lng: -89.5312, count: 2 }"
288,2,25.9154,-80.2134,"{ lat: 25.9154, lng: -80.2134, count: 2 }"
289,2,35.3095,-108.09700000000001,"{ lat: 35.3095, lng: -108.09700000000001, count: 2 }"
290,2,34.7439,-117.352,"{ lat: 34.7439, lng: -117.352, count: 2 }"
291,2,33.5011,-117.681,"{ lat: 33.5011, lng: -117.681, count: 2 }"
292,2,32.3312,-90.2575,"{ lat: 32.3312, lng: -90.2575, count: 2 }"
293,2,44.6759,-73.4474,"{ lat: 44.6759, lng: -73.4474, count: 2 }"
294,2,35.2334,-89.9807,"{ lat: 35.2334, lng: -89.9807, count: 2 }"
295,2,28.4845,-81.2519,"{ lat: 28.4845, lng: -81.2519, count: 2 }"
296,2,43.4312,-73.1948,"{ lat: 43.4312, lng: -73.1948, count: 2 }"
297,2,29.9813,-90.0772,"{ lat: 29.9813, lng: -90.0772, count: 2 }"
298,2,32.5233,-93.696,"{ lat: 32.5233, lng: -93.696, count: 2 }"
299,2,34.9325,-88.5207,"{ lat: 34.9325, lng: -88.5207, count: 2 }"
300,2,34.6224,-79.0091,"{ lat: 34.6224, lng: -79.0091, count: 2 }"
301,2,38.4627,-121.316,"{ lat: 38.4627, lng: -121.316, count: 2 }"
302,2,39.1921,-86.5285,"{ lat: 39.1921, lng: -86.5285, count: 2 }"
303,2,42.1125,-80.0967,"{ lat: 42.1125, lng: -80.0967, count: 2 }"
304,2,45.4991,-122.62299999999999,"{ lat: 45.4991, lng: -122.62299999999999, count: 2 }"
305,2,40.7171,-74.1916,"{ lat: 40.7171, lng: -74.1916, count: 2 }"
306,2,36.2404,-80.2934,"{ lat: 36.2404, lng: -80.2934, count: 2 }"
307,2,36.6958,-80.7728,"{ lat: 36.6958, lng: -80.7728, count: 2 }"
308,2,41.46,-81.7747,"{ lat: 41.46, lng: -81.7747, count: 2 }"
309,2,33.0463,-96.7288,"{ lat: 33.0463, lng: -96.7288, count: 2 }"
310,2,47.9186,-122.305,"{ lat: 47.9186, lng: -122.305, count: 2 }"
311,2,27.7376,-97.4226,"{ lat: 27.7376, lng: -97.4226, count: 2 }"
312,2,35.1904,-114.06200000000001,"{ lat: 35.1904, lng: -114.06200000000001, count: 2 }"
313,2,32.3886,-94.90299999999999,"{ lat: 32.3886, lng: -94.90299999999999, count: 2 }"
314,2,41.5863,-86.1639,"{ lat: 41.5863, lng: -86.1639, count: 2 }"
