Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI13043,"Candler County, GA",13043,26380,27194,27687,29172
PCPI47015,"Cannon County, TN",47015,32541,33743,34395,35489
PCPI16027,"Canyon County, ID",16027,28163,29258,30143,31370
PCPI29031,"Cape Girardeau County, MO",29031,39383,41601,41799,43556
PCPI34009,"Cape May County, NJ",34009,51322,53981,55875,58324
PCPI56007,"Carbon County, WY",56007,51081,51649,50699,52575
PCPI49007,"Carbon County, UT",49007,34112,35253,34629,35573
PCPI42025,"Carbon County, PA",42025,42702,44839,47305,49020
PCPI30009,"Carbon County, MT",30009,42409,44073,44577,45444
PCPI16029,"Caribou County, ID",16029,36567,37819,37027,38020
PCPI21039,"Carlisle County, KY",21039,42216,41348,41519,42704
PCPI27017,"Carlton County, MN",27017,37262,38552,39429,40723
PCPI51033,"Caroline County, VA",51033,37086,41476,39265,40509
PCPI24011,"Caroline County, MD",24011,40899,41845,42779,44832
PCPI21041,"Carroll County, KY",21041,37824,39453,38649,34715
PCPI17015,"Carroll County, IL",17015,40953,40847,43168,42827
PCPI19027,"Carroll County, IA",19027,49684,49549,49377,50112
PCPI33003,"Carroll County, NH",33003,50399,52606,54722,56145
PCPI39019,"Carroll County, OH",39019,35203,35838,35626,36959
PCPI28015,"Carroll County, MS",28015,32171,33669,34976,35649
PCPI47017,"Carroll County, TN",47017,32747,34190,34707,35572
PCPI05015,"Carroll County, AR",05015,31181,30393,30969,32990
PCPI13045,"Carroll County, GA",13045,32946,34534,35602,36790
PCPI24013,"Carroll County, MD",24013,54365,56875,58677,60512
PCPI18015,"Carroll County, IN",18015,39402,38310,40566,40642
PCPI29033,"Carroll County, MO",29033,44718,40441,44245,43508
PCPI48065,"Carson County, TX",48065,41934,45071,42503,44364
PCPI32510,"Carson City, NV",32510,42006,45488,45219,48997
PCPI40019,"Carter County, OK",40019,42409,40774,39922,40727
PCPI29035,"Carter County, MO",29035,28320,29725,30237,31090
PCPI30011,"Carter County, MT",30011,56719,60916,51110,44869
PCPI47019,"Carter County, TN",47019,30657,31809,32407,33506
PCPI21043,"Carter County, KY",21043,27528,28984,28813,29783
PCPI37031,"Carteret County, NC",37031,42923,44894,46654,47871
PCPI27019,"Carver County, MN",27019,62035,64496,65560,67680
PCPI30013,"Cascade County, MT",30013,41848,43246,44229,45959
PCPI21045,"Casey County, KY",21045,28218,29583,29716,30446
PCPI17017,"Cass County, IL",17017,38190,38109,39047,39779
PCPI31025,"Cass County, NE",31025,45337,47663,49558,51000
PCPI26027,"Cass County, MI",26027,37258,39140,41360,43379
PCPI38017,"Cass County, ND",38017,53260,53674,54319,54196
PCPI19029,"Cass County, IA",19029,43335,45062,43871,44648
PCPI48067,"Cass County, TX",48067,34393,34838,35000,35996
PCPI27021,"Cass County, MN",27021,40138,42236,43513,44951
PCPI18017,"Cass County, IN",18017,34797,34803,36247,37077
PCPI29037,"Cass County, MO",29037,40634,42262,43878,45075
PCPI16031,"Cassia County, ID",16031,42183,44269,43790,44132
PCPI48069,"Castro County, TX",48069,54772,67207,46761,50209
PCPI37033,"Caswell County, NC",37033,31624,32728,33307,34704
PCPI22025,"Catahoula Parish, LA",22025,32900,31212,32427,33657
PCPI37035,"Catawba County, NC",37035,38330,40431,41691,43651
PCPI13047,"Catoosa County, GA",13047,31404,32530,33158,34158
